"id","size","treatment","udiam","mr","mc"
"CL",110,"urc_medium",40,23.9451232983054,1220.66666666667
"N03",97,"urc_medium",40,23.9451232983054,820
"IV01",149.7,"urc_large",60,76.7473171064462,2736
"N21",109,"urc_small",20,3.2693951605001,935
"SCI01",60,"urc_small",20,3.2693951605001,231.333333333333
"Monster",160,"urc_small",20,3.2693951605001,2433
"HH02",58,"urc_large",60,76.7473171064462,196.666666666667
"HH06",65.5,"urc_small",20,3.2693951605001,238.333333333333
"HH16",64,"urc_small",20,3.2693951605001,239
"N22",99,"urc_large",60,76.7473171064462,689
"N08",129.1,"urc_large",60,76.7473171064462,1317
"HH15",57,"urc_medium",40,23.9451232983054,200.666666666667
"N05",78,"urc_large",60,76.7473171064462,369.333333333333
"N09",82.8,"urc_small",20,3.2693951605001,405.333333333333
"HH10",76,"urc_medium",40,23.9451232983054,336.666666666667
"HH04",85.5,"urc_medium",40,23.9451232983054,437
"HH13",80,"urc_medium",40,23.9451232983054,365.666666666667
"SCI04",89.7,"urc_small",20,3.2693951605001,478
"N12",86.4,"urc_small",20,3.2693951605001,489
"N04",85.2,"urc_medium",40,23.9451232983054,432.666666666667
"HH21",83,"urc_small",20,3.2693951605001,409.666666666667
"SCI02",66,"urc_large",60,76.7473171064462,269.666666666667
"HH18",59,"urc_medium",40,23.9451232983054,207.666666666667
"N02",78,"urc_medium",40,23.9451232983054,367
"N07",89.3,"urc_large",60,76.7473171064462,NA
"HH17",53,"urc_medium",40,23.9451232983054,203.333333333333
"IV03",116.7,"urc_large",60,76.7473171064462,1001
"N01",63.5,"urc_large",60,76.7473171064462,203.666666666667
"HH09",68,"urc_large",60,76.7473171064462,300.666666666667
"HH20",70,"urc_small",20,3.2693951605001,335.666666666667
"N06",108.3,"urc_medium",40,23.9451232983054,857
"LTER",108,"urc_small",20,3.2693951605001,821.333333333333
"N10",80.9,"urc_small",20,3.2693951605001,389
"IV05",91.8,"urc_large",60,76.7473171064462,555.333333333333
"HH08",77,"urc_small",20,3.2693951605001,357
"HH01",69,"urc_large",60,76.7473171064462,352
"HH07",72,"urc_small",20,3.2693951605001,296.666666666667
"N11",95,"urc_large",60,76.7473171064462,589
"ML",108,"urc_small",20,3.2693951605001,886.333333333333
"IV02",120.7,"urc_medium",40,23.9451232983054,1129.66666666667
"HH19",68,"urc_small",20,3.2693951605001,271.333333333333
"HH14",61,"urc_medium",40,23.9451232983054,218
"SCI03",115,"urc_small",20,3.2693951605001,938.333333333333
"IV04",143.3,"urc_medium",40,23.9451232983054,1794.66666666667
"CR01",82,"urc_large",60,76.7473171064462,352.333333333333
"HH12",72.5,"urc_large",60,76.7473171064462,322.666666666667
