"ind","package","a","h"
1,"JAGS",0.0275,3.6085
1,"mle2",NA,NA
1,"nls",NA,NA
1,"rogers",NA,NA
2,"JAGS",0.0247,604.1549
2,"mle2",NA,NA
2,"nls",NA,NA
2,"rogers",NA,NA
3,"JAGS",0.0251,2803.4217
3,"mle2",NA,NA
3,"nls",NA,NA
3,"rogers",NA,NA
4,"JAGS",0.0248,2747.6676
4,"mle2",NA,NA
4,"nls",NA,NA
4,"rogers",NA,NA
5,"JAGS",0.0262,27.9323
5,"mle2",NA,NA
5,"nls",NA,NA
5,"rogers",NA,NA
6,"JAGS",0.0229,11.0357
6,"mle2",NA,NA
6,"nls",NA,NA
6,"rogers",NA,NA
7,"JAGS",0.0181,5.1971
7,"mle2",NA,NA
7,"nls",NA,NA
7,"rogers",NA,NA
8,"JAGS",0.0149,4.9671
8,"mle2",NA,NA
8,"nls",NA,NA
8,"rogers",NA,NA
9,"JAGS",0.0244,617.99
9,"mle2",NA,NA
9,"nls",NA,NA
9,"rogers",NA,NA
10,"JAGS",0.0219,56.387
10,"mle2",NA,NA
10,"nls",NA,NA
10,"rogers",NA,NA
11,"JAGS",0.0254,2634.3355
11,"mle2",NA,NA
11,"nls",NA,NA
11,"rogers",NA,NA
12,"JAGS",0.0234,14.9677
12,"mle2",NA,NA
12,"nls",NA,NA
12,"rogers",NA,NA
13,"JAGS",0.0234,166.3052
13,"mle2",NA,NA
13,"nls",NA,NA
13,"rogers",NA,NA
14,"JAGS",0.0257,107.9908
14,"mle2",NA,NA
14,"nls",NA,NA
14,"rogers",NA,NA
15,"JAGS",0.0203,38.6217
15,"mle2",NA,NA
15,"nls",NA,NA
15,"rogers",NA,NA
16,"JAGS",0.024,1283.5257
16,"mle2",NA,NA
16,"nls",NA,NA
16,"rogers",NA,NA
17,"JAGS",0.0241,1269.485
17,"mle2",NA,NA
17,"nls",NA,NA
17,"rogers",NA,NA
18,"JAGS",0.0124,8.713
18,"mle2",NA,NA
18,"nls",NA,NA
18,"rogers",NA,NA
19,"JAGS",0.0299,8.6632
19,"mle2",NA,NA
19,"nls",NA,NA
19,"rogers",NA,NA
20,"JAGS",0.0165,9.386
20,"mle2",NA,NA
20,"nls",NA,NA
20,"rogers",NA,NA
21,"JAGS",0.0211,6.189
21,"mle2",NA,NA
21,"nls",NA,NA
21,"rogers",NA,NA
22,"JAGS",0.0177,17.7437
22,"mle2",NA,NA
22,"nls",NA,NA
22,"rogers",NA,NA
23,"JAGS",0.0236,34.5673
23,"mle2",NA,NA
23,"nls",NA,NA
23,"rogers",NA,NA
24,"JAGS",0.024,35.3927
24,"mle2",NA,NA
24,"nls",NA,NA
24,"rogers",NA,NA
25,"JAGS",0.0237,133.1203
25,"mle2",NA,NA
25,"nls",NA,NA
25,"rogers",NA,NA
26,"JAGS",0.0388,0.5039
26,"mle2",NA,NA
26,"nls",NA,NA
26,"rogers",NA,NA
27,"JAGS",0.0289,1.5554
27,"mle2",NA,NA
27,"nls",NA,NA
27,"rogers",NA,NA
28,"JAGS",0.0228,0.3571
28,"mle2",NA,NA
28,"nls",NA,NA
28,"rogers",NA,NA
29,"JAGS",0.0251,2801.3319
29,"mle2",NA,NA
29,"nls",NA,NA
29,"rogers",NA,NA
30,"JAGS",0.0245,356.5577
30,"mle2",NA,NA
30,"nls",NA,NA
30,"rogers",NA,NA
31,"JAGS",0.025,7.4623
31,"mle2",NA,NA
31,"nls",NA,NA
31,"rogers",NA,NA
32,"JAGS",0.0186,31.5656
32,"mle2",NA,NA
32,"nls",NA,NA
32,"rogers",NA,NA
33,"JAGS",0.0252,2580.8397
33,"mle2",NA,NA
33,"nls",NA,NA
33,"rogers",NA,NA
34,"JAGS",0.0244,5.5285
34,"mle2",NA,NA
34,"nls",NA,NA
34,"rogers",NA,NA
35,"JAGS",0.0247,627.5076
35,"mle2",NA,NA
35,"nls",NA,NA
35,"rogers",NA,NA
36,"JAGS",0.0308,13.4043
36,"mle2",NA,NA
36,"nls",NA,NA
36,"rogers",NA,NA
37,"JAGS",0.0218,8.8672
37,"mle2",NA,NA
37,"nls",NA,NA
37,"rogers",NA,NA
38,"JAGS",0.0132,10.3391
38,"mle2",NA,NA
38,"nls",NA,NA
38,"rogers",NA,NA
39,"JAGS",0.025,2788.6758
39,"mle2",NA,NA
39,"nls",NA,NA
39,"rogers",NA,NA
40,"JAGS",0.0184,0.4139
40,"mle2",NA,NA
40,"nls",NA,NA
40,"rogers",NA,NA
41,"JAGS",0.0251,1.962
41,"mle2",NA,NA
41,"nls",NA,NA
41,"rogers",NA,NA
42,"JAGS",0.0227,63.584
42,"mle2",NA,NA
42,"nls",NA,NA
42,"rogers",NA,NA
43,"JAGS",0.0234,7.513
43,"mle2",NA,NA
43,"nls",NA,NA
43,"rogers",NA,NA
44,"JAGS",0.0254,2845.5977
44,"mle2",NA,NA
44,"nls",NA,NA
44,"rogers",NA,NA
45,"JAGS",0.0388,1.1966
45,"mle2",NA,NA
45,"nls",NA,NA
45,"rogers",NA,NA
46,"JAGS",0.0413,2.5879
46,"mle2",NA,NA
46,"nls",NA,NA
46,"rogers",NA,NA
